# Moodle-specific deep audit paths.
# Format: <path>|<title>|<severity>|<bodyMatch (optional, case-insensitive)>|<locationMatch (optional, checked on 3xx Location header)>
/login/index.php|Moodle Login Page Exposed|LOW|Moodle|
/admin/|Moodle Admin Panel Exposed|HIGH|Moodle|
/install.php|Moodle Installer Accessible|CRITICAL|Moodle|
/config.php|Exposed Moodle Config|CRITICAL||
/backup/|Moodle Backup Directory Listing|HIGH|Index of|
/lib/|Moodle Lib Directory Listing|INFO|Index of|
/theme/|Moodle Theme Directory Listing|INFO|Index of|
/mod/|Moodle Modules Directory Listing|INFO|Index of|
/mnet/xmlrpc/|Moodle MNET XML-RPC Enabled|MEDIUM|mnet|
/report/security/|Moodle Security Report Accessible|MEDIUM|
/login/forgot_password.php|Moodle Password Reset Open|INFO|forgot|
/user/profile.php|Moodle User Profile Accessible|INFO|profile|
/data/|Moodle Data Directory Listing|INFO|Index of|
