# Drupal-specific deep audit paths.
# Format: <path>|<title>|<severity>|<bodyMatch (optional, case-insensitive)>
/CHANGELOG.txt|Drupal CHANGELOG Exposed (Version Disclosure)|MEDIUM|Drupal
/core/CHANGELOG.txt|Drupal Core CHANGELOG Exposed (Version Disclosure)|MEDIUM|Drupal
/README.txt|Drupal README Exposed|INFO|Drupal
/user/login|Drupal Login Page Exposed|LOW|Drupal
/user/register|Drupal User Registration Open|MEDIUM|Drupal
/sites/default/settings.php.bak|Exposed Drupal Settings Backup|CRITICAL|
/sites/default/files/|Drupal Files Directory Listing|HIGH|Index of
/sites/default/|Drupal Sites Directory Listing|INFO|Index of
/node/1|Drupal Content Node Accessible|INFO|Drupal
/update.php|Drupal Update Script Accessible|HIGH|Drupal
/install.php|Drupal Installer Accessible|CRITICAL|Drupal
