# MediaWiki-specific deep audit paths.
# Format: <path>|<title>|<severity>|<bodyMatch (optional, case-insensitive)>|<locationMatch (optional, checked on 3xx Location header)>
/Special:Version|MediaWiki Version Disclosure|INFO|MediaWiki|
/api.php?action=query&meta=siteinfo|MediaWiki API Exposed (Site Info)|INFO|generator|
/index.php?title=Special:UserLogin|MediaWiki Login Exposed|LOW|
/index.php?title=Special:ListUsers|MediaWiki User List Exposed|HIGH|List of users|
/LocalSettings.php|Exposed LocalSettings.php|CRITICAL|wgDBpassword|
/mw-config/|MediaWiki Installer Accessible|CRITICAL|MediaWiki|
/images/|MediaWiki Images Directory Listing|INFO|Index of|
/extensions/|MediaWiki Extensions Directory Listing|INFO|Index of|
/skins/|MediaWiki Skins Directory Listing|INFO|Index of|
/load.php|MediaWiki Resource Loader|INFO||
/index.php/Main_Page|MediaWiki Main Page Accessible|INFO||
/rest.php|MediaWiki REST API Exposed|INFO|mediawiki|
